gmlid,shape
DEHE06200001qokh,Unknown
DEHE06200001qo9Z,T-Shape
DEHE06200001qolA,Rectangle
DEHE06200001LqLB,Unknown
DEHE06200001qokq,L-Shape
DEHE06200001qoeL,Unknown
DEHE06200001qok1,Rectangle
DEHE062000007Mkg,Rectangle
DEHE06200001qo8u,Unknown
DEHE06200001qodS,L-Shape
DEHE06200001qoeY,Rectangle
DEHE06200001qoeu,T-Shape
DEHE06200001kMXj,Unknown
DEHE06200001K7F6,L-Shape
DEHE06200001qovz,L-Shape
DEHE06200001gdxc,Unknown
DEHE06200001gdxm,Rectangle
DEHE06200001kLP1,Unknown
DEHE06200001gdxy,Unknown
DEHE06200001kLH5,Rectangle
DEHE06200001ssuk,Rectangle
DEHE062000021RPA,Unknown
DEHE06200001vSaU,L-Shape
DEHE06200001sr0H,Unknown
DEHE06200001TEQq,T-Shape
DEHE06200001sr9u,Unknown
DEHE06200001dyzC,L-Shape
DEHE06200001d7CL,Rectangle
DEHE06200001gdlQ,L-Shape
DEHE06200001kMng,Rectangle
